"고유번호","기준연도","행정동코드","행정동명","2007년사용량","2008년사용량","X 좌표","Y 좌표"
"OBJECTID","BASE_YEAR","ADM_DR_CD","ADM_DR_NM","GWH_07","GWH_08","X","Y"
"389","2008","1124055","마천1동","32.825066","33.006524","213665.901","443882.358"
"390","2008","1124056","마천2동","52.316194","52.350109","213409.003","444559.418"
"418","2008","1124071","잠실본동","143.973478","147.11602","209482.927","446921.746"
"404","2008","1124066","가락1동","108.872008","107.456593","211614.877","444099.164"
"374","2008","1123063","대치4동","218.378668","220.665671","204858.263","444681.936"
"432","2008","1125066","성내2동","73.904534","76.036348","211294.978","448323.149"
"424","2008","1125052","상일동","65.77704","66.072943","214585.692","450155.145"
"47","2008","1106061","답십리2동","25.062323","25.496257","205283.699","452469.857"
"245","2008","1115065","신정2동","54.974664","55.433659","188946.46","446588.352"
"393","2008","1125054","명일2동","70.702309","70.265652","212837.22","450016.02"
"394","2008","1125065","성내1동","76.47508","76.809205","211091.967","447669.484"
"396","2008","1124058","방이2동","134.74326","136.707516","210065.824","445913.699"
"373","2008","1123062","대치3동","200.241798","201.87656","205845.671","444693.458"
"375","2008","1123064","역삼1동","811.389233","839.363475","203250.182","444496.053"
"377","2008","1123067","도곡2동","206.850177","202.922658","204330.731","443175.446"
"323","2008","1118058","시흥2동","42.630933","39.78739","192968.314","439034.702"
"413","2008","1123051","신사동","57.489527","59.389609","201783.985","447372.759"
"421","2008","1124079","잠실2동","31.061469","42.261366","207032.194","446477.204"
"422","2008","1124080","잠실3동","188.013635","214.449989","208380.132","446309.836"
"423","2008","1125051","강일동","12.637248","15.349535","215247.599","451535.363"
"427","2008","1125056","고덕2동","40.612626","41.410712","214335.251","451907.084"
"428","2008","1125058","암사2동","39.441958","40.119107","210880.906","450968.767"
"429","2008","1125059","암사3동","135.190887","141.3095","212230.801","451450.658"
"430","2008","1125061","천호1동","62.420996","66.6182","212156.58","449683.208"
"10","2008","1101065","혜화동","65.333465","66.712451","200079.063","454140.821"
"165","2008","1111051","월계1동","61.366745","62.602469","204221.365","464652.49"
"154","2008","1108081","성북동","75.10811","77.239237","204752.438","457644.275"
"181","2008","1111077","상계6.7동","129.276013","132.254037","207149.887","464065.786"
"268","2008","1114071","연남동","47.055426","48.724297","193150.714","451443.282"
