"고유번호","기준연도","행정동코드","행정동명","2007년사용량","2008년사용량","X 좌표","Y 좌표"
"OBJECTID","BASE_YEAR","ADM_DR_CD","ADM_DR_NM","HC_SUM_07","HC_SUM_08","X","Y"
"329","2008","1119056","당산2동","0","0","191486.792","448223.039"
"330","2008","1119076","문래동","0","0","191234.242","443389.609"
"334","2008","1121081","난곡동","0","0","192903.973","442920.817"
"335","2008","1121052","보라매동","0","0","196396.071","443345.42"
"336","2008","1121057","행운동","0","0","196607.344","442381.192"
"337","2008","1121058","낙성대동","0","0","196583.794","440969.218"
"339","2008","1121062","인헌동","0","0","197929.147","440254.738"
"369","2008","1120073","사당2동","0","0","194007.282","443463.458"
"378","2008","1123067","도곡2동","133120.7","127257.2","204330.731","443175.446"
"379","2008","1123068","개포1동","24129.7","24157.6","205351.196","442314.695"
"380","2008","1123069","개포2동","20934.3","20494.9","205913.367","442449.784"
"384","2008","1123075","수서동","68361.6","66517.5","208979.314","442894.292"
"385","2008","1123076","세곡동","0","0","209153.533","441450.913"
"397","2008","1124058","방이2동","0","0","210065.824","445913.699"
"7","2008","1101061","종로1.2.3.4가동","0","0","199052.485","453135.715"
"36","2008","1103064","이촌2동","18205.4","17708","195939.541","447108.479"
"65","2008","1105056","중곡2동","0","0","207430.635","451029.495"
"156","2008","1110055","방학1동","0","0","201022.978","454095.323"
"199","2008","1117065","개봉3동","0","0","189671.443","445640.98"
"277","2008","1117054","구로3동","0","0","190695.281","442874.969"
"294","2008","1117071","구로2동","0","0","189244.268","444144.064"
"409","2008","1124075","잠실4동","30829.3","56285.3","209482.927","446921.746"
"433","2008","1125067","성내3동","0","0","211294.978","448323.149"
"424","2008","1125052","상일동","0","0","214585.692","450155.145"
"388","2008","1124053","거여1동","4889.9","4852.4","212567.588","443919.115"
"389","2008","1124054","거여2동","30035.5","29627.5","213171.669","443307.769"
"401","2008","1124062","송파2동","39195.8","38171.6","210319.547","444840.944"
"357","2008","1122057","반포1동","31685.9","39088.5","198881.227","445209.663"
"429","2008","1125059","암사3동","0","0","212230.801","451450.658"
"419","2008","1123057","청담2동","5873.2","5723.5","203952.789","447006.484"
"425","2008","1125053","명일1동","0","0","212837.22","450016.02"
"390","2008","1124055","마천1동","0","0","213665.901","443882.358"
"391","2008","1124056","마천2동","0","0","213409.003","444559.418"
"392","2008","1124064","삼전동","0","0","207247.974","445125.744"
"394","2008","1124078","잠실7동","46652.1","46279.6","213176.714","451642.015"
"395","2008","1125055","고덕1동","0","0","211815.756","447665.923"
"396","2008","1125065","성내1동","0","0","210816.916","445619.642"
"398","2008","1124059","오륜동","84232.4","94479.8","211404.128","446461.97"
"399","2008","1124060","오금동","38982.5","38328.3","211854.555","444925.338"
"402","2008","1124063","석촌동","0","0","209206.44","444825.298"
"366","2008","1120070","신대방2동","0","0","196874.495","445104.241"
"367","2008","1120071","흑석동","0","0","195620.27","445920.171"
"368","2008","1120072","노량진1동","0","0","197746.612","444321.265"
"412","2008","1122066","양재1동","0","0","199244.368","443372.06"
"428","2008","1125058","암사2동","0","0","210880.906","450968.767"
"435","2008","1125071","둔촌2동","0","0","213127.875","448044.449"
"436","2008","1125072","암사1동","0","0","212019.622","450168.107"
"437","2008","1125073","천호2동","0","0","210788.956","449383.591"
"438","2008","1125074","길동","0","0","213023.986","448939.589"
"415","2008","1123052","논현1동","0","0","202364.22","445842.604"
"416","2008","1123053","논현2동","12761.1","12711.1","203181.696","446188.395"
"420","2008","1124077","잠실6동","42924.4","42774.3","208776.964","446524.327"
"422","2008","1124080","잠실3동","87959.3","84980.5","208380.132","446309.836"
"423","2008","1125051","강일동","0","0","215247.599","451535.363"
"426","2008","1125054","명일2동","0","0","213768.099","449897.966"
"427","2008","1125056","고덕2동","0","0","214335.251","451907.084"
"430","2008","1125061","천호1동","0","0","212156.58","449683.208"
