"고유번호","기준연도","행정동코드","행정동명","2007년사용량","2008년사용량","X 좌표","Y 좌표"
"OBJECTID","BASE_YEAR","ADM_DR_CD","ADM_DR_NM","SUM_07","SUM_08","X","Y"
"401","2008","1124062","송파2동","2745.563","2612.525","209206.44","444825.298"
"405","2008","1124067","가락2동","4403.596","3882.835","211261.036","443157.816"
"355","2008","1122055","잠원동","5361.97","5224.913","201140.422","446503.396"
"364","2008","1120069","신대방1동","2592.059","2272.172","192006.103","443485.022"
"297","2008","1122062","방배1동","2236.298","1834.064","199637.863","442845.689"
"299","2008","1123053","논현2동","5954.332","5945.513","203181.696","446188.395"
"316","2008","1119076","문래동","4019.037","4044.199","190430.571","446242.902"
"323","2008","1118058","시흥2동","2058.428","1862.011","192968.314","439034.702"
"330","2008","1119071","대림2동","2330.97","1946.68","191234.242","443389.609"
"318","2008","1120053","상도1동","3384.34","2899.462","195963.806","444498.87"
"319","2008","1120054","상도2동","2515.037","2657.878","194837.894","444867.35"
"372","2008","1123061","대치2동","2392.37","2228.597","205857.937","444010.024"
"386","2008","1124051","풍납1동","2348.067","1923.127","210049.203","448760.352"
"300","2008","1123060","대치1동","3333.483","2900.815","205236.16","443760.327"
"342","2008","1121068","신사동","2809.554","2801.291","192903.973","442920.817"
"273","2008","1116072","방화3동","3845.412","3231.907","183694.055","453727.512"
"335","2008","1121054","청림동","2037.116","1704.852","196396.071","443345.42"
"359","2008","1122059","반포3동","2317.128","1980.781","200351.975","445907.067"
"327","2008","1119054","여의도동","9010.809","7394.406","193731.108","447688.781"
"302","2008","1123073","일원1동","2539.955","2094.77","208026.839","443739.302"
"403","2008","1124064","삼전동","4737.119","4723.896","209528.113","443973.611"
"406","2008","1124068","문정1동","2213.681","2173.75","210402.067","442170.777"
"381","2008","1123071","개포4동","3219.124","3207.199","204710.452","441911.221"
"371","2008","1123059","삼성2동","4216.771","4291.813","204331.585","445802.96"
"343","2008","1121069","신림동","2765.46","2363.337","193536.714","443050.798"
"338","2008","1121062","인헌동","3320.459","2790.004","197031.099","441418.731"
"392","2008","1124075","잠실4동","1226.738","1193.738","207247.974","445125.744"
"425","2008","1125054","명일2동","2776.468","2524.087","213768.099","449897.966"
"377","2008","1123067","도곡2동","4446.025","4220.858","204330.731","443175.446"
"384","2008","1123075","수서동","2885.012","2308.837","208979.314","442894.292"
"391","2008","1124066","가락1동","4016.505","3427.577","208003.497","444695.558"
"368","2008","1123056","청담1동","3680.823","3030.102","204821.553","447449.989"
"369","2008","1123057","청담2동","2750.83","2710.395","203952.789","447006.484"
"380","2008","1123070","개포3동","1774.92","1464.117","206351.662","443239.501"
"293","2008","1121061","중앙동","1571.418","1584.316","195695.918","442742.949"
"294","2008","1121065","신원동","2102.673","2100.103","193520.82","442191.517"
"295","2008","1121081","난곡동","3469.717","2843.473","192971.616","441212.867"
"320","2008","1120055","상도3동","3215.413","2678.483","194251.717","444227.442"
"321","2008","1120056","상도4동","3328.893","3309.161","194705.213","444247.615"
"271","2008","1116070","방화1동","3579.341","2894.132","183479.251","452247.062"
"357","2008","1122057","반포1동","3102.603","2445.086","201483.201","445086.137"
"358","2008","1122058","반포2동","1931.984","1911.565","199597.284","445275.998"
"360","2008","1122060","반포4동","5638.407","5382.442","200141.252","444469.283"
