"고유번호","기준연도","행정동코드","행정동명","2007년사용량","2008년사용량","X 좌표","Y 좌표"
"OBJECTID","BASE_YEAR","ADM_DR_CD","ADM_DR_NM","SUM_07","SUM_08","X","Y"
"243","2008","1115061","신월5동","5.812699","5.684396","186010.578","446353.6"
"244","2008","1115062","신월6동","5.12924906","5.11530452","185086.826","446396.563"
"245","2008","1115063","신월7동","11.84806596","12.29299224","188946.46","446588.352"
"248","2008","1115069","신정6동","1.117913","1.015512","188040.116","445718.298"
"247","2008","1115066","신정3동","20.5131191","23.91576678","188545.016","446315.567"
"249","2008","1115070","신정7동","2.46030504","2.38451937","189343.097","448644.211"
"289","2008","1117067","오류1동","8.04673433","7.1961931","186068.718","444175.664"
"250","2008","1115071","목5동","5.195321","5.409374","189079.721","450476.403"
"255","2008","1116055","화곡본동","14.236642","13.931689","185428.533","449392.838"
"276","2008","1117052","구로1동","9.06794896","8.86471459","188896.267","443737.33"
"277","2008","1117054","구로3동","15.86636512","16.97500919","190695.281","442874.969"
"282","2008","1118052","독산1동","16.72005409","16.82234665","189834.834","441806.83"
"286","2008","1117061","고척1동","11.79801524","11.39999963","187923.372","444559.681"
"287","2008","1117062","고척2동","9.14783654","9.27864414","187142.57","445073.03"
"288","2008","1117065","개봉3동","8.33838549","7.26432801","187077.766","443005.636"
"235","2008","1114077","공덕동","16.121985","16.171998","189063.006","447513.022"
"238","2008","1115053","목3동","7.17981","7.122953","185371.643","447974.716"
"240","2008","1115057","신월1동","9.088424","8.899635","184818.062","448137.54"
"269","2008","1116064","가양1동","15.196486","6.164665","192119.502","451429.174"
"320","2008","1120054","상도2동","10.780839","11.797069","194251.717","444227.442"
"321","2008","1120055","상도3동","9.964331","9.850373","194705.213","444247.615"
"323","2008","1118057","시흥1동","13.50254902","12.00132781","192968.314","439034.702"
"325","2008","1118059","시흥3동","5.15320343","4.97679166","191967.17","440019.112"
"326","2008","1118060","시흥4동","9.66928483","9.75467319","192215.181","438847.03"
"293","2008","1121054","청림동","9.135405","9.19833","195695.918","442742.949"
"295","2008","1121081","난곡동","11.28092","11.003274","192971.616","441212.867"
"296","2008","1122054","서초4동","9.206964","9.260281","201770.899","444405.416"
"299","2008","1123051","신사동","9.726021","9.727387","201783.985","447372.759"
"355","2008","1122055","잠원동","8.668007","8.549712","198881.227","445209.663"
"306","2008","1124058","방이2동","14.959138","15.03456","191569.02","445270.601"
"313","2008","1119071","대림2동","8.011355","8.187848","191028.681","444520.256"
"384","2008","1123074","일원2동","0.962463","1.055612","208979.314","442894.292"
"373","2008","1123061","대치2동","1.874982","1.79937","205845.671","444693.458"
