coord,addr,name
"[37.33088351044291,126.7848458148633]",경기도 안산시 단원구 신길동 1687 안산신길 택지개발지구 C-1 안산트레이더스 내 1층,스타벅스 안산트레이더스점
"[37.303048305447454,126.81220725010175]",경기도 안산시 단원구 초지동 742-4 이마트고잔점 1F,스타벅스 이마트고잔점
"[37.30317149072028,126.81191203918507]",경기도 안산시 단원구 초지동,스타벅스고잔이마트점
"[37.318781967256534,126.83772798339794]",경기도 안산시 단원구 고잔동 539-1 스타벅스건물 3층 라임한의원,라임한의원
"[37.34468445350919,126.73722267210073]",경기도 시흥시 정왕동 1738-6 ,스타벅스 시화로데오점
"[37.308570926947525,126.8513654892819]","경기도 안산시 상록구 이동 715-2 한남빌딩 1, 2층",스타벅스 안산한대앞역점
"[37.30081903270009,126.83816239088654]",경기도 안산시 상록구 사동 1569-1 제비동 1층,스타벅스 안산한양대점
"[37.538376002456694,127.20395324289187]",경기도 하남시 덕풍동 419-43 ,스타벅스 하남신장점
"[37.540492711070655,127.21595940242268]","경기도 하남시 신장동 524-4 1, 2층",스타벅스 하남시청점
"[37.60053612996083,127.1417636052459]",경기도 구리시 수택동 526-3 우진빌딩 1층,스타벅스 구리돌다리점
"[37.53870260710418,127.14001735889806]",서울특별시 강동구 길동 378-3 ,스타벅스 길동역점
"[37.55099383426426,127.17422421461575]","서울특별시 강동구 상일동 373-1 1, 2층",스타벅스 상일동점
"[37.55399148275074,127.15598083503995]",서울특별시 강동구 명일동 47-7 ,스타벅스 명일이마트점
"[37.51545233929409,127.13342919901166]",서울특별시 송파구 방이동 89-12 올림픽선수촌 스포츠센터 1층,스타벅스 올림픽아파트점
"[37.53473544648751,127.13843357857562]",서울특별시 강동구 길동 459-4 1층,스타벅스 길동사거리점
"[37.48414539040772,126.78253737092375]",경기도 부천시 소사구 심곡본동 316-2 ,스타벅스 부천역사점
"[37.48351711437102,126.80929944776577]",경기도 부천시 소사구 괴안동 112-25 ,스타벅스 역곡역DT점
"[37.50069100469995,126.74406577055336]",경기도 부천시 원미구 상동 572-1 ,스타벅스 부천플레이도시점
"[37.488418780000906,126.75254835760249]",경기도 부천시 원미구 상동 464 루치올라빌딩,스타벅스 송내역점
"[37.48552105997254,126.78225498290318]","경기도 부천시 원미구 심곡동 174-1 1,2층",스타벅스 부천점
"[37.653009273829156,126.77679378027787]",경기도 고양시 일산동구 장항동 890-5 ,스타벅스 마두역점
