coord,addr,name
"[37.20787319834605,126.81268680274023]",경기도 화성시 남양읍 남양리 522 ,엔제리너스 화성남양점
"[37.31742482795984,126.84729337644555]",경기도 안산시 상록구 성포동 590 ,엔제리너스 롯데시네안산TO점
"[37.23734700008651,126.75732901244608]",경기도 화성시 송산면 고정리 349-26 ,엔제리너스 송산휴게소점
"[37.31720879643776,126.85009458256393]",경기도 안산시 상록구 성포동 586 ,엔제리너스 홈플러스안산TO점
"[37.30818648189569,126.85167591230095]",경기도 안산시 상록구 이동,엔제리너스커피안산한대역점
"[37.23723084734461,126.75656456973554]",경기도 화성시 송산면 고정리,엔제리너스커피송산포도휴게소점
"[37.343355394479325,126.68714796394553]",경기도 시흥시 정왕동,엔제리너스커피오이도점
"[37.35170026781276,126.74113458799401]",경기도 시흥시 정왕동,엔제리너스커피시흥정왕점
"[37.31752379297487,126.85005593787022]",경기도 안산시 상록구 성포동,엔제리너스커피홈플러스안산T/O점
"[37.207800220306204,126.81259782193285]",경기도 화성시 남양읍 남양리,엔제리너스커피화성남양점
"[37.53829735343561,127.20431617285752]",경기도 하남시 신장1동 427-67 하남빌딩 2층,엔제리너스 하남신장사거리점
"[37.55464288282527,127.1550906947345]",서울특별시 강동구 명일동 46-3 KT 고덕빌딩 1층,엔제리너스 고덕역점
"[37.52454281742009,127.13450064501937]",서울특별시 강동구 성내동 439-16 ,엔제리너스 GS둔촌DI점
"[37.60025679012701,127.13928669043881]",경기도 구리시 수택동 383-9 ,엔제리너스 구리돌다리점
"[37.59158237646459,127.13964703963134]",경기도 구리시 수택동 849-1 ,엔제리너스 구리점
"[37.60026563462368,127.13926393901653]",경기도 구리시 수택동,엔제리너스커피구리돌다리점
"[37.59162536122229,127.1393634583919]",경기도 구리시 수택동,엔제리너스커피구리점
"[37.52440783669213,127.13452483095483]",서울특별시 강동구 성내동,엔제리너스커피GS둔촌D/I점
"[37.3022032898718,126.86473849291323]","경기도 안산시 상록구 본오동 874-3 상림프라자 104, 105, 106호",엔제리너스 안산상록수점
"[37.30226657181538,126.86476010096523]",경기도 안산시 상록구 본오동,엔제리너스커피안산상록수점
"[37.48733796432859,126.78369544524743]",경기도 부천시 원미구 심곡동 164-2 ,엔제리너스 부천심곡점
"[37.48598441882445,126.78087929578628]",경기도 부천시 원미구 심곡동 383-1 시네마존빌딩 101호,엔제리너스 부천북부점
"[37.484931399286964,126.8092656941481]",경기도 부천시 원미구 역곡동 79 ,엔제리너스 역곡북부점
"[37.48497553222798,126.80917453741819]",경기도 부천시 원미구 역곡동,엔제리너스커피역곡북부점
"[37.487382892030936,126.78368340940429]",경기도 부천시 원미구 심곡동,엔제리너스커피부천심곡점
"[37.66003505723881,126.77225843822963]",경기도 고양시 일산동구 장항동 784 롯데백화점일산점 10F,엔제리너스 롯데백화점일산점
"[37.660376555161385,126.77217347895535]",경기도 고양시 일산동구 장항동 784 롯데백화점일산점 10층,엔제리너스 롯데백일산식당가점
"[37.659164409073206,126.7699834367924]",경기도 고양시 일산동구 장항동 769-2 ,엔제리너스 일산라페스타점
"[37.654998038818555,126.77135543778668]",경기도 고양시 일산동구 장항동 869 ,엔제리너스 일산엠시티점
"[37.643267700023344,126.78973487659378]",경기도 고양시 일산동구 백석동 1242 ,엔제리너스 홈플러스고양터미널TO점
"[37.661681965595,126.76861584673101]",경기도 고양시 일산동구 장항동 764 ,엔제리너스 롯데시네일산TO점
"[37.64283987836943,126.78931124360695]",경기도 고양시 일산동구 백석동,엔제리너스커피홈플러스고양터미널T/O점
"[37.66068083918715,126.77197579585923]",경기도 고양시 일산동구 장항동,엔제리너스롯데백일산점
"[37.65477628600706,126.77082645503405]",경기도 고양시 일산동구 장항동,엔제리너스일산엠시티점
"[37.63398993458458,126.8311024028014]",경기도 고양시 덕양구 화정동 970-1 ,엔제리너스 화정점
"[37.62487360155145,126.83585576739472]",경기도 고양시 덕양구 행신동 941 ,엔제리너스 롯데마트고양점
"[37.66386642298533,126.75441216735055]",경기도 고양시 일산서구 대화동 1050-71 ,엔제리너스 빅마켓일산킨텍스점
"[37.742790250097634,127.08419717255047]",경기도 의정부시 용현동 527-1 ,엔제리너스 롯데마트의정부점
"[37.83145977132922,127.05244171682402]",경기도 양주시 회정동 453-19 ,엔제리너스 양주브이플러스TO점
"[37.831314711958704,127.05232997275324]",경기도 양주시 회정동,엔제리너스양주브이플러스점
"[37.7036861619023,126.90171307421524]",경기도 고양시 덕양구 고양동 129 1층,엔제리너스 고양점
"[37.7429145406036,127.05654442724334]",경기도 의정부시 신곡동 680-8 ,엔제리너스 의정부신곡점
"[37.66784026366489,127.04519716418572]",서울특별시 도봉구 방학동 717-6 ,엔제리너스 빅마켓도봉점
"[37.70367863159671,126.90187194924819]",경기도 고양시 덕양구 고양동,엔제리너스커피고양점
"[37.471585643574045,126.98269421880612]",서울특별시 관악구 남현동 612-51 ,엔제리너스 홈플러스남현TO점
"[37.42402341353086,126.88431126730649]",경기도 광명시 일직동 500 롯데프리미엄아울렛광명점 5F,엔제리너스 롯데프리미엄아울렛광명점
"[37.42408002750921,126.88458157783968]",경기도 광명시 일직동,엔제리너스커피롯데프리미엄아울렛광명점
"[37.42418584270761,126.88338242456976]",경기도 광명시 일직동,엔제리너스롯데아울렛광명점
"[37.41737746510914,127.12685583080011]",경기도 성남시 중원구 여수동 205 ,엔제리너스 성남시청점
"[37.39749572199843,127.11178294259051]",경기도 성남시 분당구 삼평동 661 ,엔제리너스 판교역점
"[37.458447169426705,127.16412041800726]",경기도 성남시 수정구 양지동 231 ,엔제리너스 성남양지점
"[37.44373676114101,127.14204345360999]",경기도 성남시 수정구 신흥동 5493-2 ,엔제리너스 성남수정점
"[36.9931193091784,127.08823150344136]",경기도 평택시 평택동 44-17 ,엔제리너스 평택점
"[36.98887654721034,126.92874613762788]",경기도 평택시 안중읍 안중리 278-17 ,엔제리너스 평택안중점
"[37.003866440998124,127.11881017989997]",경기도 평택시 죽백동 771 ,엔제리너스 평택세무서점
"[36.988901759686385,126.84402476471858]",경기도 평택시 포승읍 도곡리 1121-9 ,엔제리너스 평택포승점
"[37.06700704207916,127.06337367378521]",경기도 평택시 서정동 814-4 ,엔제리너스 평택송탄점
"[36.991196675794846,127.08430016991514]",경기도 평택시 평택동 185-579 ,엔제리너스 AK평택역사점
"[37.00845422937252,127.07396929428872]",경기도 평택시 세교동 439-3 ,엔제리너스 평택성모병원TO점
"[37.003786013463326,127.11890099329088]",경기도 평택시 죽백동,엔제리너스평택세무서점
"[36.98884101383702,126.92880280226974]",경기도 평택시 안중읍 안중리,엔제리너스커피평택안중점
"[36.99082229750861,127.08600094741502]",경기도 평택시 평택동,엔제리너스AK평택역사점
"[37.12990766381418,126.92264241520773]",경기도 화성시 향남읍 행정리 486-4 ,엔제리너스 화성향남점
"[37.144460636076374,127.06834032372814]",경기도 오산시 오산동 882-1 명신빌딩 1층,엔제리너스 오산점
"[36.91583197247593,127.12825229451228]",충청남도 천안시 서북구 성환읍 성환리 449-98 ,엔제리너스 천안성환점
"[37.47605508691158,126.8659351310394]",경기도 광명시 철산동 259 ,엔제리너스 광명철산점
"[37.49033406033411,126.88269244509637]",서울특별시 구로구 구로동 706-55 ,엔제리너스 신도림테크노마트점
"[37.48540505305444,126.89800793720515]",서울특별시 구로구 구로동 182-4 대륭포스트타워 3차 112호,엔제리너스 구로디지털점
"[37.47545806334314,126.88176077691472]",서울특별시 금천구 가산동 345-30 남성프라자 102호,엔제리너스 가산IT점
"[37.48381942324278,126.90287060282546]",서울특별시 관악구 조원동 1643-6 ,엔제리너스 구로디지털역점
"[37.48553151233457,126.89418424436795]",서울특별시 구로구 구로3동 197-22 에이스테크노타워5차 102호,엔제리너스 구로IT점
"[37.46869845378806,126.89690798464419]",서울특별시 금천구 독산동 291-7 ,엔제리너스 홈플러스금천TO점
"[37.483590853940974,126.87663061653359]",서울특별시 금천구 가산동 533-2 롯데센터 1층,엔제리너스 롯데센터가산점
"[37.48839406673653,126.90939605620419]",서울특별시 동작구 신대방동 689-8 ,엔제리너스 신대방점
"[37.470606540087736,126.89571553384259]",서울특별시 금천구 독산동 295-10 ,엔제리너스 빅마켓금천점
"[37.50139619595038,126.88241452299187]",서울특별시 구로구 구로동 573 AK플라자구로본점 4F F4_52,엔제리너스 구로AKTO점
"[37.50141357224234,126.88234640646672]",서울특별시 구로구 구로동 573 AK플라자구로본점 4F F4_53,엔제리너스 AK플라자구로본점
"[37.501119159810514,126.88265615275509]",서울특별시 구로구 구로동,엔제리너스커피구로AKT/O점
"[37.48528877721833,126.89810010254855]",서울특별시 구로구 구로동,엔제리너스커피구로디지털점
"[37.4704430010139,126.89557097568526]",서울특별시 금천구 독산동,엔제리너스커피빅마켓금천점
"[37.46871041717388,126.89722433962537]",서울특별시 금천구 독산동,엔제리너스커피홈플러스금천T/O점
"[37.48389893115878,126.90269983566462]",서울특별시 관악구 신림동,엔제리너스커피구로디지털역점
"[37.26441881599407,126.99822740552418]",경기도 수원시 권선구 서둔동 296-77 롯데백화점수원점 7F,엔제리너스 롯데백수원식당가점
"[37.264398543037174,126.99689732496226]",경기도 수원시 권선구 서둔동 296-77 ,엔제리너스 롯데몰수원점 3층
"[37.2444806146632,126.97538549025752]",경기도 수원시 권선구 고색동 484-3 ,엔제리너스 수원고색DI점
"[37.266408590771206,126.99697213272482]",경기도 수원시 권선구 서둔동 296-3 ,엔제리너스 롯데시네수원몰TO점
"[37.26406011625279,126.99630428679606]",경기도 수원시 권선구 서둔동 296-77 ,엔제리너스 롯데몰수원점
"[37.266585901941426,126.96419493961879]",경기도 수원시 권선구 호매실동 134 ,엔제리너스 호매실DI점
"[37.24446249757691,126.97537446438326]",경기도 수원시 권선구 고색동,엔제리너스수원고색점
"[37.26476485543234,126.9975914665716]",경기도 수원시 권선구 서둔동,엔제리너스커피롯데시네마수원점
"[37.264334614676955,126.99679670568239]",경기도 수원시 권선구 서둔동,엔제리너스커피롯데몰수원점
"[37.266444587200795,127.00016232490334]",경기도 수원시 팔달구 매산로1가 18 AK플라자수원점 6F,엔제리너스 수원CGV점
"[37.266226828087255,126.99998481329737]",경기도 수원시 팔달구 매산로1가 18 수원역 2F,엔제리너스 수원역TO점
