p_id,assist,goal,play,st
19980215,0,1,5,9
19980216,0,0,3,0
19980217,1,1,10,10
19980218,0,0,2,0
19980220,0,0,2,2
19980222,0,0,1,1
19980223,4,3,19,27
19980224,19,35,127,268
19980226,6,6,47,59
19980227,2,1,22,20
19980228,1,0,2,1
19980229,2,1,25,28
19980231,0,2,8,18
19980232,0,0,1,1
19980238,7,6,53,73
19980240,0,1,16,14
19980241,8,15,71,98
19980242,0,1,6,6
19980243,2,1,5,7
19980245,0,2,15,12
19980247,0,0,3,1
19980252,0,1,2,6
19980253,0,1,4,1
19980255,0,0,1,0
19980260,0,1,7,19
19980261,0,0,1,1
19980262,0,0,1,0
19980263,0,0,1,4
19980264,7,5,21,50
19980265,1,2,19,24
19980267,0,0,1,1
19980269,1,1,2,4
19980270,2,0,4,4
19980271,1,2,14,18
19980272,0,0,4,2
19980274,5,6,71,85
19980275,0,0,1,1
19980276,0,0,2,5
19980277,0,0,1,0
19980278,8,3,47,38
19980279,12,0,42,67
19980285,0,0,4,1
19980286,14,30,93,202
19980287,10,6,43,52
19980288,1,2,17,27
19980289,1,1,8,11
19980291,2,21,75,123
19980292,6,16,51,97
19980294,6,37,126,259
19980295,3,1,37,54
19980296,13,31,129,227
19980298,0,5,11,40
19980303,4,5,13,22
19980306,9,29,96,193
19980308,15,45,140,254
19980311,0,4,17,30
19980312,5,1,14,26
19980314,34,19,129,168
19980317,7,6,22,32
19980319,0,0,1,0
19980322,6,15,50,129
19980323,3,3,24,29
19980324,1,7,20,32
19980325,18,29,127,298
19980326,1,0,6,3
19980328,0,0,2,3
19980329,7,6,38,64
19980330,6,16,39,94
19980332,3,4,20,38
19980333,6,9,21,41
19980334,0,0,3,1
19980335,11,13,83,92
19980337,1,2,18,24
19980340,0,0,5,4
19980341,0,0,1,0
19980345,12,30,92,205
19980346,13,18,64,145
19980348,2,4,12,12
19980351,1,1,3,9
19980352,7,7,19,31
19980354,6,1,29,29
19980355,0,1,7,9
19980358,3,5,45,64
19980361,0,0,2,1
19980366,0,0,3,2
19980367,0,0,4,7
19980368,0,0,1,3
19980369,2,2,9,6
19980371,0,1,1,2
19980372,0,1,5,10
19980373,0,0,1,0
19980374,1,0,7,9
19980375,0,4,3,12
19980376,0,0,9,12
19980377,0,0,1,1
19980383,13,41,101,297
19980384,2,5,43,48
19980386,0,1,1,1
19980392,17,47,195,308
19980393,2,12,33,81
19980395,0,0,7,7
19980396,0,0,1,0
19980397,0,1,9,12
19980402,0,0,1,0
19980403,0,0,1,0
19980404,3,3,20,35
19980408,0,0,2,0
19980413,11,25,99,186
19980414,0,0,10,4
19980415,0,0,1,0
19980417,0,2,7,6
19980419,0,1,12,13
19980420,0,0,2,0
19980422,0,0,2,1
19980423,0,0,8,8
19980424,0,0,3,1
19980425,1,0,5,1
19980428,9,9,73,117
19980436,1,0,2,4
19980437,1,1,13,28
19980439,0,0,2,1
19980441,2,17,35,115
19980442,0,3,6,7
19980443,53,163,344,1123
19980444,0,0,10,9
19980450,0,0,4,4
19980454,1,0,22,16
19980457,21,34,150,301
19980459,0,0,1,1
19980460,3,1,11,15
19980461,1,2,22,18
19980465,1,0,5,7
19980466,0,0,2,3
