coord,addr,name
"[37.29170724839474,127.05116667503877]",경기도 수원시 영통구 이의동 1325-6 대림프라자 202호,이디야 광교경기도청점
"[37.37753252700696,127.11239102700978]",경기도 성남시 분당구 수내동,이디야커피분당수내점
"[37.35960478086662,127.1068902395482]",경기도 성남시 분당구 정자동,이디야커피분당쉐르빌점
"[37.37267474029851,127.10746918748664]",경기도 성남시 분당구 정자동,이디야커피분당파크뷰점
"[37.29174265521756,127.05108728246624]",경기도 수원시 영통구 이의동,이디야커피광교경기도청점
"[37.30156675356427,127.0480085738905]",경기도 수원시 영통구 이의동,이디야커피GSBC점
"[37.358545356837986,126.96785410699437]",경기도 의왕시 오전동 839 ,이디야커피 의왕오전동점
"[37.39697185867213,126.98615439793339]",경기도 의왕시 포일동 477 ,이디야커피 의왕포일점
"[37.3790054853374,126.97579380688249]",경기도 의왕시 내손동 757-4 반도프라자 101호,이디야 계원예대점
"[37.379014397138604,126.97578239442247]",경기도 의왕시 내손동,이디야커피계원예대점
"[37.32119218868932,126.95203926455768]",경기도 의왕시 삼동,이디야커피의왕역점
"[37.2958145509394,126.99422453793255]",경기도 수원시 장안구 정자동 876-4 세경프라자 101호,이디야커피 수원정자점
"[37.367406048188556,126.9559013282856]",경기도 안양시 동안구 호계동 971-20 ,이디야 안양호계점
"[37.40168783486878,126.96780479586515]",경기도 안양시 동안구 관양동 799 메가밸리 S108호,이디야 메가밸리점
"[37.39144290031824,126.95346751439116]",경기도 안양시 동안구 호계동 1042 에메랄드빌딩104,이디야 범계점
"[37.29620557457573,126.98304195820945]",경기도 수원시 장안구 천천동 527-7 ,이디야커피 수원천천점
"[37.39932258741539,126.92384600338514]",경기도 안양시 만안구 안양동 674-154 ,이디야커피 안양1번가점
"[37.39013812198094,126.95366633969131]",경기도 안양시 동안구 호계동 1050 ,이디야커피 범계역점
"[37.35986117299193,126.93035870394617]",경기도 군포시 산본동 1137-3 옥산 프라자1층 108호,이디야 산본점
"[37.399950457774956,126.97628813370893]",경기도 안양시 동안구 관양2동 1503 ,이디야커피 인덕원역점
"[37.400519970280236,126.92076808708985]",경기도 안양시 만안구 안양동 668-33 ,이디야커피 안양점
"[37.391504787877736,126.97285695247841]",경기도 안양시 동안구 평촌동 126-1 ,이디야커피 안양벤처다임점
"[37.344069212544234,126.94886606143176]",경기도 군포시 당정동 1010-3 ,이디야 당정역점
"[37.39762178346827,126.92210845869695]",경기도 안양시 만안구 안양동 676-116 ,이디야커피 안양중앙점
"[37.29822226372402,126.9703370160509]",경기도 수원시 장안구 율전동 292-7 ,이디야커피 성균관대역점
"[37.393835775950954,126.96324827327848]",경기도 안양시 동안구 관양동 1604-4 벌말프라자 107호,이디야 평촌점
"[37.385851630985684,126.93878624783113]",경기도 안양시 만안구 안양동 204-2 ,이디야 안양덕천점
"[37.34836038982447,126.95520576855016]",경기도 군포시 당정동 974-1 ,이디야커피 한세대점
"[37.39074145549639,126.94955859448476]",경기도 안양시 동안구 비산동 1107-1 ,이디야커피 범계벤처텔점
"[37.38382513679765,126.95916292220812]",경기도 안양시 동안구 호계동 1058-6 ,이디야커피 평촌학원가점
"[37.306514073697635,126.99148754463545]",경기도 수원시 장안구 정자동 535-28 ,이디야커피 수원파장시장점
"[37.38217740075417,126.9300192117587]",경기도 안양시 만안구 안양동 560-11 ,이디야커피 성결대점
"[37.393889833074574,126.96324752872509]",경기도 안양시 동안구 관양동,이디야커피평촌점
"[37.39146842963553,126.95329776279856]",경기도 안양시 동안구 호계동,이디야커피범계점
"[37.293834843895525,126.97354352344674]",경기도 수원시 장안구 천천동,이디야커피수원성균관대점
"[37.36734228383323,126.95582318544396]",경기도 안양시 동안구 호계동,이디야커피안양호계점
"[37.4018055501741,126.96787094924684]",경기도 안양시 동안구 관양동,이디야커피메가밸리점
"[37.35989670053791,126.93030175792701]",경기도 군포시 산본동,이디야커피산본점
"[37.38384494443378,126.95936590393984]",경기도 안양시 동안구 호계동 1058-6,이디야평촌학원가점
"[37.31913051009316,126.83194615245127]",경기도 안산시 단원구 고잔동 529-1 에이스타워 1층 115호,이디야 안산고잔점
"[37.326094145149966,126.8020507742056]",경기도 안산시 단원구 원곡동 847 한화아파트상가 103호 이디야커피,이디야커피 원곡동점
"[37.33709566090893,126.81184055105217]",경기도 안산시 단원구 선부동 1082-2 벽산블루밍 아파트 상가 123호,이디야 안산선부동점
"[37.31942252712914,126.82503693146]",경기도 안산시 단원구 고잔동 516 ,이디야커피 고대안산병원점
