"고유번호","구명","품계수종","수고","관리등급","위치","환경영향","전정","도로길이","구번호","전선유무","순번","품계활력","흉고지름","품계위치","수관너비","현존유무","관리기관","피해정도","주변토지사용상태","방재","관리방안","수목고유번호","차선수","보호덮개","가로명","가치등급","품계퓽고","수목명","X 좌표","Y 좌표"
"OBJECTID","GU_NM","TRE_SOM","THT_HG","MGE_LVL","LC","EVMT_IFNE","RPRUNG_CN","ROAD_LT","GU_NO","ETRC_YNO","SN","ITM_ERY","BHT_DM","RNK_LC_CN","WTRTB_BT","EXT_YNO","MGE_ORG","DME_ETT","CMFE_LU_STTN","DSPRVN_CN","MGE_MTE","TRE_IDN","TFCLNE_CO","PTN_CVR","WIDTH_NM","VAL_LVL","RNK_BHT_HG","WDPT_NM","X","Y"
"20000756","중구","8","14","2","약수역","0","","0","02","2","163","8","20","12","7","0","공원녹지과","2","0","","0","2-동호로-가-0163","","1","동호로","0","3","은행나무","200796.896","450804.352"
"20000757","중구","8","13","1","약수역","0","","0","02","2","173","8","21","12","8","0","공원녹지과","2","0","","0","2-동호로-가-0173","","1","동호로","0","6","은행나무","200837.375","450724.274"
"20000758","중구","8","10","1","마포로5구역","0","","0","02","2","137","8","20","12","5","0","공원녹지과","1","0","","0","2-서소문로-가-0137","","1","서소문로","0","6","소나무","197124.928","451289.74"
"20000760","중구","8","15","2","훼미리마트","0","","0","02","2","81","8","30","6","6","0","공원녹지과","2","0","","0","2-금호동길-가-0081","","1","금호동길","0","6","은행나무","201167.551","451220.549"
"20000422","중구","8","22","2","저동빌딩","0","","0","02","1","152","8","27","6","10","0","공원녹지과","2","0","","0","2-마른내길-가-0152","","1","마른내길","0","6","은행나무","198996.542","451680.941"
"20000423","중구","8","20","2","","0","","0","02","1","99","8","26","9","13","0","공원녹지과","2","0","","0","2-배오개길-가-099","","1","배오개길","0","6","은행나무","199836.542","451752.213"
"20000424","중구","8","19","1","sk텔레콤","0","","0","02","1","25","8","38","9","14","0","공원녹지과","2","0","","0","2-배오개길-가-0025","","1","배오개길","0","9","은행나무","199863.823","451632.382"
"20000425","중구","8","16","2","천일화공","0","","0","02","2","54","8","19","9","5","0","공원녹지과","2","0","","0","2-배오개길-가-0054","","1","배오개길","0","3","은행나무","199837.005","452000.078"
"20000427","중구","8","26","1","창신비니루","0","","0","02","2","247","8","38","12","13","0","공원녹지과","2","0","","0","2-훈련원로-가-0249","","1","훈련원로","0","9","은행나무","200195.972","451760.156"
"20000428","중구","8","24","1","창신비니루","0","","0","02","2","249","8","30","12","12","0","공원녹지과","2","0","","0","2-훈련원로-가-0251","","1","훈련원로","0","6","은행나무","200196.695","451743.616"
"20000430","중구","4","15","3","삼성APT","0","","0","02","1","6","8","25","6","7","0","공원녹지과","2","0","2010. 방패벌레 수간주사 및 흰불나방 지상방제","0","2-금호동길-가-0006","","1","금호동길","0","6","양버즘나무","201674.295","450987.504"
"20000431","중구","8","7","2","삼성APT","0","","0","02","2","278","8","20","6","4","0","공원녹지과","2","0","","0","2-금호동길-가-0278","","1","금호동길","0","3","은행나무","201659.053","451120.149"
"20000432","중구","4","13","2","SK주유소","0","","0","02","2","52","8","34","9","9","0","공원녹지과","2","0","2010. 방패벌레 수간주사 및 흰불나방 지상방제","0","2-난계로-가-0052","","2","난계로","0","9","양버즘나무","202073.799","451823.896"
"20000433","중구","8","14","1","삼성빌딩","0","","0","02","2","282","8","28","12","10","0","공원녹지과","2","0","","0","2-을지로-가-0282","","1","을지로","0","6","은행나무","198284.971","451843.499"
"20000435","중구","8","15","1","신한은행","0","","0","","2","177","8","28","12","7","0","공원녹지과","2","0","","0","2-태평로-가-0177","","1","태평로","0","6","은행나무","197929.702","452196.251"
"20000436","중구","8","10","1","마포로5구역","0","","0","02","2","133","8","20","12","5","0","공원녹지과","1","0","","0","2-서소문로-가-0133","","1","서소문로","0","6","소나무","197098.261","451292.547"
"20000438","중구","8","10","2","조광인쇄","0","","0","02","2","27","8","24","6","7","0","공원녹지과","2","0","","0","2-을지로-가-0534","","1","태평로1가로","0","6","은행나무","198738.285","451995.51"
"20000439","중구","8","9","1","길도빌딩","0","","0","02","2","10","8","25","12","6","0","공원녹지과","2","0","","0","2-새문안길-가-0010","","1","새문안길","0","6","은행나무","197255.003","452033.847"
"20000440","중구","6","10","3","예원학교","0","","0","02","2","91","8","17","6","8","0","공원녹지과","2","0","","0","2-덕수궁길-가-0090","","1","덕수궁길","0","3","상수리나무","197508.708","451856.603"
"20000441","중구","8","2","3","로터리","0","","0","02","2","62","6","6","6","2","0","공원녹지과","1","0","2010. 진딧물 방제","0","2-덕수궁길-가-0061","","1","덕수궁길","0","3","살구나무","197639.902","451762.978"
"20000437","중구","4","10","2","CJ 본사","0","","0","02","2","5","8","25","9","5","0","공원녹지과","","0","2010. 흡즙성및천공성 해충종합방제","0","2-후암동길-가-0005","","1","후암동길","0","6","소나무","197922.181","450541.074"
"20000443","중구","8","8","1","힐튼호텔","0","","0","02","2","157","8","25","9","6","0","공원녹지과","","0","","0","2-소월길-가-0157","","1","소월길","0","12","소나무","197943.891","450697.904"
"20000444","중구","8","13","2","남산","0","","0","02","2","65","8","18","9","8","0","공원녹지과","2","0","","0","2-소월길-가-0065","","1","소월길","0","3","은행나무","197968.263","450698.544"
"20000445","중구","8","18","1","남산","0","","0","02","2","180","8","42","9","7","0","공원녹지과","2","0","","0","2-소파길-가-0180","","1","소파길","0","12","은행나무","198256.741","450656.778"
"20000446","중구","8","7","2","남정빌딩","0","","0","02","2","111","8","14","12","5","0","공원녹지과","2","0","","0","2-소월길-가-0111","","1","소월길","0","3","은행나무","197877.676","451052.882"
"20000447","중구","4","16","2","청구역","0","","0","02","1","211","8","22","9","9","0","공원녹지과","2","0","2010. 방패벌레 수간주사 및 흰불나방 지상방제","0","2-금호동길-가-0211","","1","금호동길","0","6","양버즘나무","201359.002","451119.337"
"20000448","중구","8","13","2","부일수퍼","0","","0","02","1","153","8","30","6","7","0","공원녹지과","2","0","","0","2-금호동길-가-0153","","1","금호동길","0","6","은행나무","200912.189","451456.868"
"20000450","중구","8","14","1","서울역","0","","0","02","1","60","8","30","12","7","0","공원녹지과","2","0","","0","2-칠패길-가-0060","","1","칠패길","0","6","은행나무","197388.05","451100.833"
"20000560","중구","8","16","1","성동공고","0","","0","02","2","271","8","21","12","6","0","공원녹지과","2","0","","0","2-다산로-가-0278","","2","다산로","0","6","은행나무","201421.081","452192.008"
"20000561","중구","4","3","2","안국약국","0","","0","02","1","147","6","21","12","3","0","공원녹지과","2","0","2010. 방패벌레 수간주사 및 흰불나방 지상방제","0","2-왕십리길-가-0148","","1","왕십리길","0","6","양버즘나무","201718.403","451780.979"
"20000563","중구","8","17","1","한국은행","0","","0","02","2","2","8","28","12","7","0","공원녹지과","2","0","","0","2-태평로-가-0002","","1","태평로","0","6","은행나무","197879.005","451254.8"
"20000564","중구","8","17","1","장춘단길","0","","0","02","2","101","8","34","9","12","0","공원녹지과","2","0","","0","2-장춘단길-가-0110","","1","장춘단길","0","9","은행나무","200214.423","450432.064"
"20000565","중구","8","5","2","","0","","0","02","2","77","8","12","6","6","0","공원녹지과","0","0","2010. 진딧물 및 흰불나방 방제","0","2-서애길-가-0077","","1","서애길","0","3","왕벚나무","199615.29","450697.719"
"20000315","중구","8","15","2","경찰서","0","","0","02","2","72","8","23","9","7","0","공원녹지과","2","0","","0","2-마장로-가-0072","","1","마장로","0","6","은행나무","201273.012","452064.039"
"20000316","중구","8","16","2","경찰서","0","","0","02","2","60","8","30","9","8","0","공원녹지과","2","0","","0","2-마장로-가-0060","","1","마장로","0","6","은행나무","201354.716","452063.305"
"20000317","중구","8","11","2","삼성판매","0","","0","02","2","150","8","17","12","6","0","공원녹지과","2","0","","0","2-왕십리길-가-0151","","1","왕십리길","0","3","은행나무","201761.827","451782.785"
"20000319","중구","8","8","2","동국대","0","","0","02","2","1","8","15","12","6","0","공원녹지과","2","0","2010. 진딧물 및 흰불나방 등 지상방제","0","2-장춘단길-가-0016","","1","장춘단길","0","3","회화나무","200477.677","450947.545"
"20000320","중구","4","9","2","영미상가","0","","0","02","2","2","8","32","6","6","0","공원녹지과","2","0","","0","2-마장로-가-0002","","1","마장로","0","9","은행나무","202036.518","452054.758"
"20000321","중구","8","17","2","광화문파출소","0","","0","02","2","202","8","20","12","8","0","공원녹지과","2","0","","0","2-태평로-가-0202","","1","태평로","0","3","은행나무","197949.393","452158.725"
"20000322","중구","8","15","3","서울특별시별관","0","","0","02","2","287","8","18","3","16","0","공원녹지과","2","0","","0","2-덕수궁길-가-0283","","1","덕수궁길","0","3","은행나무","197875.757","451699.327"
"20000323","중구","8","20","2","정동교회","0","","0","02","2","210","8","31","6","14","0","공원녹지과","2","0","","0","2-덕수궁길-가-0206","","1","덕수궁길","0","9","은행나무","197601.082","451776.828"
"20000307","중구","8","15","2","부림빌딩","0","","0","02","2","238","8","19","9","10","0","공원녹지과","2","0","","0","2-을지로-가-0238","","1","을지로","0","3","은행나무","198245.886","451923.891"
"20000324","중구","8","14","2","코오롱빌딩","0","","0","02","2","89","8","30","9","7","0","공원녹지과","2","0","","0","2-무교동길-가-0089","","1","무교동길","0","6","은행나무","198157.743","452007.746"
"20000325","중구","8","4","2","이화여고","0","","0","02","2","182","8","6","6","3","0","공원녹지과","2","0","","0","2-덕수궁길-가-0182","","1","덕수궁길","0","3","은행나무","197493.401","451854.821"
"20000327","중구","4","26","1","을지지하입구","0","0223","0","02","2","378","8","45","12","14","0","공원녹지과","2","0","2010. 방패벌레 수간주사 및 흰불나방 지상방제","0","2-을지로-가-0378","","1","을지로","0","12","양버즘나무","199012.534","451840.094"
"20000328","중구","8","7","2","영락교회","0","","0","02","2","19","8","18","12","3","0","공원녹지과","2","0","","0","2-삼일로-가-0020","","1","삼일로","0","3","은행나무","199010.307","451514.014"
"20000329","중구","4","12","2","국민은행","0","","0","02","2","85","8","15","9","8","0","공원녹지과","2","0","","0","2-배오개길-가-0085","","1","배오개길","0","9","은행나무","199811.192","451943.9"
"20000330","중구","8","13","1","남산","0","","0","02","2","62","8","31","9","7","0","공원녹지과","2","0","","0","2-소월길-가-0062","","1","소월길","0","9","은행나무","197956.304","450680.428"
"20000332","중구","8","10","1","","0","","0","02","1","164","8","25","9","5","0","공원녹지과","","0","","0","2-마장로-가-0164","","1","마장로","0","9","은행나무","201145.253","452033.349"
"20000333","중구","8","16","1","한화빌딩","0","","0","02","2","19","8","30","12","10","0","공원녹지과","2","0","","0","2-을지로-가-0526","","1","태평로1가로","0","6","은행나무","198749.844","452016.994"
"20000335","중구","8","23","1","배재빌딩","0","","0","02","2","33","8","32","12","13","0","공원녹지과","2","0","","0","2-서소문로-가-0034","","1","서소문로","0","9","은행나무","197660.255","451499.609"
"20000336","중구","8","6","2","","0","","0","02","2","58","8","12","6","5","0","공원녹지과","0","0","2010. 진딧물 및 흰불나방 방제","0","2-서애길-가-0058","","1","서애길","0","3","왕벚나무","199618.118","450821.606"
"20000337","중구","8","13","2","동대문운동장","0","","0","02","2","491","8","17","12","7","0","공원녹지과","2","0","","0","2-을지로-가-0491","","1","을지로","0","3","은행나무","200776.997","451787.384"
"20000338","중구","8","9","2","두산타워","0","","0","02","2","19","8","20","12","4","0","공원녹지과","2","0","","0","2-홍인문로-가-0013-1","","1","홍인문로","0","3","은행나무","200796.493","452085.32"
"20000339","중구","8","28","1","상공회의소","0","","0","02","2","229","8","26","12","24","0","공원녹지과","2","0","","0","2-태평로-가-0229","","1","태평로","0","6","은행나무","197953.814","451945.425"
"20000340","중구","8","13","2","서울역","0","","0","02","1","50","8","16","12","7","0","공원녹지과","2","0","","0","2-청파로-가-0073","","1","청파로","0","3","은행나무","197300.17","451053.612"
"20000341","중구","4","9","3","서독안경","0","","0","02","1","20","8","39","6","6","0","공원녹지과","2","0","2010. 방패벌레 수간주사 및 흰불나방 지상방제","0","2-중림동길-가-0020","","1","중림동길","0","6","양버즘나무","197084.535","450961.837"
"20000688","중구","8","9","2","서울시의회","0","","0","02","2","227","8","17","6","6","0","공원녹지과","2","0","2010. 진딧물 방제","0","2-태평로-가-0227","","1","태평로","0","3","느티나무","197912.969","451972.019"
"20000689","중구","8","15","1","삼성생명","0","","0","02","1","377","8","29","12","12","0","공원녹지과","2","0","","0","2-태평로-가-0382","","1","태평로","0","6","은행나무","197853.791","451312.751"
"20000691","중구","8","10","2","외환은행","0","","0","02","2","351","6","16","12","8","0","공원녹지과","2","0","","0","2-을지로-가-0351","","1","을지로","0","3","은행나무","198675.583","451825.587"
"20000692","중구","8","10","2","CJ 본사","0","","0","02","2","2","8","25","9","5","0","공원녹지과","","0","2010. 흡즙성및천공성 해충종합방제","0","2-후암동길-가-0002","","1","후암동길","0","6","소나무","197923.249","450570.862"
"20000693","중구","8","15","1","한국은행","0","","0","02","2","41","8","40","9","10","0","공원녹지과","2","0","","0","2-소공길-가-0041","","1","소공길","0","9","은행나무","198255.157","451490.361"
"20000694","중구","8","18","1","종로김밥","0","","0","02","2","52","8","33","12","16","0","공원녹지과","2","0","","0","2-태평로-가-0052","","1","태평로","0","9","은행나무","197962.97","451536.436"
"20000695","중구","8","22","1","국민은행","0","","0","02","2","188","8","40","12","26","0","공원녹지과","2","0","","0","2-서소문로-가-0190","","1","서소문로","0","9","은행나무","197576.667","451453.212"
"20000696","중구","4","23","1","삼도빌딩","0","","0","02","2","96","8","40","12","6","0","공원녹지과","2","0","2010. 방패벌레 수간주사 및 흰불나방 지상방제","0","2-의주로-가-0099","","1","의주로","0","9","양버즘나무","197198.268","451628.945"
"20000697","중구","4","23","1","삼도빌딩","0","","0","02","2","69","8","45","12","7","0","공원녹지과","2","0","2010. 방패벌레 수간주사 및 흰불나방 지상방제","0","2-의주로-가-0072","","1","의주로","0","12","양버즘나무","197302.978","451447.622"
"20000684","중구","4","30","2","조이마트","0","","0","02","1","132","8","32","6","10","0","공원녹지과","2","0","","0","2-마른내길-가-0132","","1","마른내길","0","9","은행나무","199168.95","451693.19"
"20000699","중구","8","14","1","프레스센터","0","","0","02","2","157","6","39","12","6","0","공원녹지과","2","0","","0","2-태평로-가-0157","","1","태평로","0","9","은행나무","197996.8","452043.227"
"20000700","중구","8","26","2","부산은행","0","","0","02","2","5","8","17","9","15","0","공원녹지과","2","0","","0","2-무교동길-가-0005","","1","무교동길","0","3","은행나무","198169.349","451876.46"
"20000701","중구","8","14","1","부산은행","0","","0","02","2","296","8","34","12","8","0","공원녹지과","2","0","","0","2-을지로-가-0296","","1","을지로","0","9","은행나무","198175.236","451844.344"
"20000702","중구","8","18","2","삼성화재","0","","0","02","2","227","8","16","12","9","0","공원녹지과","2","0","","0","2-을지로-가-0227","","1","을지로","0","3","은행나무","198409.483","451843.151"
"20000703","중구","8","17","2","다등빌딩","0","","0","02","2","204","8","18","12","8","0","공원녹지과","2","0","","0","2-남대문로-가-0210","","1","남대문로","0","3","은행나무","198460.286","452095.909"
"20000704","중구","8","10","1","시티은행","0","","0","02","2","225","8","23","12","7","0","공원녹지과","2","0","","0","2-청계천로-가-0225","","1","청계천로","0","6","은행나무","198232.483","452153.11"
"20000706","중구","4","22","2","국립의료원","0","0219","0","02","2","49","8","20","12","11","0","공원녹지과","2","0","2010. 방패벌레 수간주사 및 흰불나방 지상방제","0","2-을지로-가-0049","","1","을지로","0","3","양버즘나무","200436.072","451967.962"
"20000707","중구","8","17","2","현대자동차","0","","0","02","2","296","8","13","12","8","0","공원녹지과","2","0","","0","2-태평로-가-0301","","1","태평로","0","3","은행나무","197952.588","451682.993"
"20000708","중구","4","23","1","을지로입구-고가","0","0212","0","02","2","192","8","39","12","14","0","공원녹지과","2","0","2010. 방패벌레 수간주사 및 흰불나방 지상방제","0","2-을지로-가-0192","","1","을지로","0","9","양버즘나무","198970.378","451859.346"
"20000709","중구","8","6","2","한화빌딩","0","","0","02","2","18","8","15","12","4","0","공원녹지과","2","0","","0","2-을지로-가-0525","","1","태평로1가로","0","3","은행나무","198749.843","452011.022"
"20000710","중구","8","13","1","보성빌딩","0","","0","02","2","360","8","24","12","5","0","공원녹지과","2","0","","0","2-을지로-가-0360","","1","을지로","0","6","은행나무","198815.514","451830.949"
"20000712","중구","8","5","2","영락교회","0","","0","02","2","33","8","15","12","4","0","공원녹지과","2","0","","0","2-삼일로-가-0034","","1","삼일로","0","3","은행나무","198970.154","451583.348"
"20000713","중구","8","17","2","평화빌딩","0","","0","02","1","169","8","30","6","7","0","공원녹지과","2","0","","0","2-마른내길-가-0169","","1","마른내길","0","6","은행나무","199041.859","451682.564"
"20000714","중구","8","17","2","저동빌딩","0","","0","02","1","174","6","24","6","6","0","공원녹지과","1","0","","0","2-마른내길-가-0174","","1","마른내길","0","6","은행나무","199073.126","451691.398"
"20000765","중구","6","5","3","약수사거리","0","","0","02","2","59","8","13","6","4","0","공원녹지과","2","0","2010. 진딧물 및 흰불나방 방제","0","2-동호로-가-0059","","1","동호로","0","3","왕벚나무","201026.161","450531.264"
"20000767","중구","8","12","2","약수사거리","0","","0","02","1","68","8","20","9","10","0","공원녹지과","2","0","","0","2-동호로-가-0068","","1","동호로","0","3","은행나무","200994.402","450532.685"
"20000768","중구","8","18","1","코스코스프라자","0","","0","02","2","13","8","34","12","18","0","공원녹지과","2","0","2010. 진딧물 방제","0","2-명동길-가-0013","","1","명동길","0","9","느티나무","198515.868","451562.349"
"20000769","중구","8","20","2","광화문파출소","0","","0","02","2","181","8","31","6","10","0","공원녹지과","2","0","","0","2-태평로-가-0181","","2","태평로","0","9","은행나무","197866.923","452187.222"
"20000771","중구","8","20","1","유신건재사","0","","0","02","1","51","8","27","12","8","0","공원녹지과","2","0","","0","2-삼일로-가-0052","","1","삼일로","0","6","은행나무","198918.196","451903.866"
"20000772","중구","8","23","1","쁘렝땅","0","","0","02","2","86","8","27","12","8","0","공원녹지과","2","0","","0","2-삼일로-가-0087","","2","삼일로","0","6","은행나무","198889.777","451757.155"
"20000773","중구","4","10","1","동대후문입구","0","0","0","02","2","499","8","25","12","5","0","공원녹지과","0","0","2010. 흡즙성및천공성 해충종합방제","0","2-퇴계로-가-0499","","1","퇴계로","0","12","소나무","200187.914","451489.848"
"20000775","중구","8","16","1","우리은행","0","","0","02","2","370","8","28","12","7","0","공원녹지과","2","0","","0","2-남대문로-가-0352","","1","남대문로","0","6","은행나무","197685.222","451030.618"
"20000776","중구","8","14","2","약수역","0","","0","02","2","166","8","19","12","8","0","공원녹지과","2","0","","0","2-동호로-가-0166","","1","동호로","0","3","은행나무","200809.228","450776.86"
"20000777","중구","8","17","1","서울역","0","","0","02","2","4","8","30","12","9","0","공원녹지과","2","0","","0","2-의주로-가-0004","","1","의주로","0","6","은행나무","197540.921","450907.382"
"20000778","중구","8","10","1","마포로5구역","0","","0","02","2","136","8","20","12","5","0","공원녹지과","1","0","","0","2-서소문로-가-0136","","1","서소문로","0","6","소나무","197116.039","451301.904"
"20000779","중구","4","20","1","흥국빌딩","0","","0","02","1","248","8","33","12","13","0","공원녹지과","2","0","2010. 방패벌레 수간주사 및 흰불나방 지상방제","0","2-소파길-가-0248","","1","소파길","0","9","양버즘나무","199113.303","451205.108"
"20000780","중구","8","15","2","중부수도사업소","0","","0","02","2","137","8","26","9","6","0","공원녹지과","2","0","","0","2-장춘단길-가-0146","","1","장춘단길","0","6","은행나무","200211.778","450356.974"
"20000782","중구","8","14","2","남산","0","","0","02","2","90","6","26","9","10","0","공원녹지과","2","0","","0","2-소파길-가-0090","","1","소파길","0","6","은행나무","198448.569","450561.855"
"20000783","중구","8","25","1","창신비니루","0","","0","02","2","255","8","40","12","15","0","공원녹지과","2","0","","0","2-훈련원로-가-0257","","1","훈련원로","0","9","은행나무","200199.577","451690.924"
"20000784","중구","8","13","2","신안빌딩","0","","0","02","2","331","8","16","12","8","0","공원녹지과","2","0","","0","2-훈련원로-가-0333","","1","훈련원로","0","3","은행나무","200226.563","451380.919"
"20000785","중구","8","8","2","한림","0","","0","02","2","146","6","14","12","6","0","공원녹지과","2","0","","0","2-훈련원로-가-0146","","1","훈련원로","0","3","은행나무","200237.692","451655.48"
"20000786","중구","8","24","1","수도밧데리","0","","0","02","1","155","8","33","12","10","0","공원녹지과","2","0","","0","2-훈련원로-가-0155","","1","훈련원로","0","9","은행나무","200229.595","451721.64"
"20000787","중구","6","4","2","명보극장","0","","0","02","2","102","8","31","6","3","0","공원녹지과","2","0","","0","2-마른내길-가-0102","","1","마른내길","0","9","은행나무","199390.927","451658.141"
"20000789","중구","8","14","2","성동공고","0","","0","02","2","272","8","20","12","7","0","공원녹지과","2","0","","0","2-다산로-가-0279","","2","다산로","0","3","은행나무","201420.383","452196.738"
"20000920","중구","8","11","2","송도병원","0","","0","02","2","499","8","13","9","6","0","공원녹지과","2","0","","0","2-다산로-가-0500","","2","다산로","0","3","은행나무","200694.334","450215.9"
"20000922","중구","8","20","2","한림빌딩","0","","0","02","2","285","8","27","6","8","0","공원녹지과","2","0","","0","2-마른내길-가-0285","","1","마른내길","0","6","은행나무","200172.629","451666.825"
"20000923","중구","8","10","2","골드상호금고","0","","0","02","1","183","8","40","6","8","0","공원녹지과","2","0","","0","2-마른내길-가-0183","","1","마른내길","0","9","은행나무","199209.24","451668.844"
