"관측일자","지점명","평균기온(℃)","최저기온(℃)","최대기온(℃)","평균습도(%)","최저습도(%)","최고습도(%)","평균풍속(m/s)","최대풍속(m/s)","강수량(mm)"
"SAWS_OBS_TM","STN_NM","SAWS_TA_AVG","SAWS_TA_MIN","SAWS_TA_MAX","SAWS_HD_AVG","SAWS_HD_MIN","SAWS_HD_MAX","SAWS_WS_AVG","SAWS_WS_MAX","SAWS_RN_SUM"
"20151127","마포","-1.7999999523162842","-5.5999999046325684","2.5999999046325684","61.200000762939453","51.200000762939453","67.599998474121094","1.8999999761581421","5.5999999046325684","0"
"20151127","구로","-1.3999999761581421","-5","2.5","57.400001525878906","50.299999237060547","64.300003051757812","2.5999999046325684","7.5","0"
"20151127","영등포","-1.5","-5","2.9000000953674316","61.700000762939453","54.400001525878906","68.199996948242188","3.2000000476837158","7.1999998092651367","0"
"20151127","서초","-0.5","-4","3.2000000476837158","55.299999237060547","47.599998474121094","63.900001525878906","2.5","5.9000000953674316","0"
"20151127","강남","-1.7000000476837158","-5.3000001907348633","2.4000000953674316","58.099998474121094","50.599998474121094","65.099998474121094","1.8999999761581421","4.5","0"
"20151127","서대문","-2.5","-6.5","2","58.200000762939453","46","65.300003051757812","1.8999999761581421","6.1999998092651367","0"
"20151127","금천","-1.1000000238418579","-4.6999998092651367","2.9000000953674316","58.599998474121094","52.900001525878906","65.800003051757812","2.4000000953674316","6.0999999046325684","0"
"20151127","양천","-1.1000000238418579","-4.5","3.7000000476837158","59.400001525878906","48.299999237060547","66.400001525878906","1.8999999761581421","5.6999998092651367","0"
"20151127","노원","-1.7000000476837158","-5.5","2.4000000953674316","56.799999237060547","45.799999237060547","64","1.1000000238418579","3.7000000476837158","0"
"20151127","광진","-1.2999999523162842","-4.9000000953674316","2.7000000476837158","57.700000762939453","49.299999237060547","65.199996948242188","1.8999999761581421","5.1999998092651367","0"
"20151127","강북","-2.2999999523162842","-6.4000000953674316","3","29.799999237060547","12.899999618530273","37.599998474121094","1.3999999761581421","3.9000000953674316","0"
"20151127","송파","-1.1000000238418579","-4.8000001907348633","2.7999999523162842","56.700000762939453","48.400001525878906","67","1.2999999523162842","3.5","0"
"20151127","용산","-1.2000000476837158","-4.9000000953674316","2.7999999523162842","55.900001525878906","47.599998474121094","62.900001525878906","2","5.5999999046325684","0"
"20151127","동대문","-1.6000000238418579","-5","2.4000000953674316","55.900001525878906","45.799999237060547","63.099998474121094","1.8999999761581421","6.5","0"
"20151126","종로","-0.89999997615814209","-3.4000000953674316","2.4000000953674316","61","50.5","74","1.6000000238418579","4.6999998092651367","0"
"20151126","서초","-0.10000000149011612","-2.2000000476837158","3.2999999523162842","60.599998474121094","48.700000762939453","75.900001525878906","3.2000000476837158","6.0999999046325684","0"
"20151126","동작","-0.30000001192092896","-2.5999999046325684","3.0999999046325684","54.299999237060547","42.200000762939453","64.199996948242188","2.7999999523162842","6.5","0"
"20151126","관악","-1.1000000238418579","-3.2000000476837158","2.4000000953674316","55.299999237060547","42.5","68.400001525878906","2.7999999523162842","6.6999998092651367","0"
"20151126","강동","-0.40000000596046448","-3.0999999046325684","3.0999999046325684","50.299999237060547","40.700000762939453","60.400001525878906","3.2999999523162842","6.9000000953674316","0"
"20151126","강서","-0.89999997615814209","-3","2.0999999046325684","67.800003051757812","53.599998474121094","77.199996948242188","2.7000000476837158","5.8000001907348633","0"
"20151126","강남","-1.1000000238418579","-3.5","2.4000000953674316","62","51.599998474121094","69.099998474121094","2.5","5.5999999046325684","0"
"20151126","서대문","-2","-4.5","1.3999999761581421","64.099998474121094","51","73.800003051757812","2.7000000476837158","6.3000001907348633","0"
"20151126","금천","-0.80000001192092896","-2.9000000953674316","2.5999999046325684","65.5","53.299999237060547","80.5","3","6.6999998092651367","0"
"20151126","양천","-0.60000002384185791","-2.5999999046325684","2.5999999046325684","64.400001525878906","52.599998474121094","74","2.7999999523162842","7","0"
"20151126","노원","-0.89999997615814209","-3.4000000953674316","2.4000000953674316","62.099998474121094","53.900001525878906","71.199996948242188","1.6000000238418579","4.9000000953674316","0"
"20151126","광진","-0.60000002384185791","-3","2.7000000476837158","62.400001525878906","54.099998474121094","73.900001525878906","2.7999999523162842","6.0999999046325684","0"
"20151126","강북","-1.7000000476837158","-4.3000001907348633","1.8999999761581421","33.799999237060547","21","44","2","5.3000001907348633","0"
"20151126","송파","-0.30000001192092896","-2.7000000476837158","3.2000000476837158","59.700000762939453","49.400001525878906","68.699996948242188","1.7000000476837158","4.5999999046325684","0"
