"발표시간","예/경보 구분(f: 예보"," a: 경보","오염물질 종류","예보등급","행동요령(예보)","경보등급"
"APPLC_DT","FA_ON","POLLUTANT","CAISTEP","ALARM_CNDT","ALERTSTEP","CNDT1"
"201601281100","f","pm10","보통","외출 등 실외활동에 지장 없음","",""
